"Reaction Abbreviation","EC Number"
"R_MLDCP1Bpp","3.4.17.13"
"R_MLDCP2App","3.4.17.13"
"R_MLDCP2Bpp","3.4.17.13"
"R_MLDCP3App","3.4.17.13"
"R_MMCD","4.1.1.41"
"R_MME","5.1.99.1"
"R_MMM","5.4.99.2"
"R_MMM2","5.4.99.2"
"R_MNNH","4.2.1.8"
"R_MOHMT","2.1.2.11"
"R_MOX","1.1.3.3"
"R_MTAN","3.2.2.16"
"R_MTHFC","3.5.4.9"
"R_MTHFD","1.5.1.5"
"R_MTHFR2","1.5.1.20"
"R_MTRI","5.3.1.23"
"R_MTRK","2.7.1.100"
"R_MTRPOX","1.5.3.2"
"R_NADDP","3.6.1.22"
"R_NADH10","1.6.5.3"
"R_NADH16pp","1.6.5.3"
"R_NADH17pp","1.6.5.3"
"R_NADH18pp","1.6.5.3"
"R_NADH5","1.6.5.3"
"R_NADH9","1.6.5.3"
"R_NADK","2.7.1.23"
"R_NADN","3.2.2.5"
"R_NADPHQR2","1.6.99.6"
"R_NADPHQR3","1.6.99.6"
"R_NADPHQR4","1.6.99.6"
"R_NADS1","6.3.1.5"
"R_NADTRHD","1.6.1.2 1.6.1.1"
"R_NAMNPP","2.4.2.11"
"R_NDPK1","2.7.4.6"
"R_NDPK2","2.7.4.6"
"R_NDPK3","2.7.4.6"
"R_NDPK4","2.7.4.6"
"R_NDPK5","2.7.4.6"
"R_NDPK6","2.7.4.6"
"R_NDPK7","2.7.4.6"
"R_NDPK8","2.7.4.6"
"R_NMNAT","2.7.7.1"
"R_NMNDA","3.5.1.42"
"R_NMNN","3.2.2.14"
"R_NMNt7pp","3.2.2.14"
"R_NNAM","3.5.1.19"
"R_NNATr","2.7.7.18"
"R_NNDPR","2.4.2.19"
"R_NO3R1bpp","1.7.99.4"
"R_NO3R1pp","1.7.99.4"
"R_NO3R2bpp","1.7.99.4"
"R_NODOx","1.14.12.17"
"R_NODOy","1.14.12.17"
"R_NPHS","4.1.3.36"
"R_NTD1","3.1.3.5"
